xsurvey,essential5_offer,essential5_curav,essential5_noso,essential5_ready,essential5_rnoso,group,nSDP,year,month,cmc,country,countrycode,round
NENiameyR5,50,50,40,13.333334,10,All,30,2018,8,1424,"Niger, Niamey",NE,5
NENiameyR5,50,50,39.285713,10.714286,7.1428576,Excluding hospitals,28,2018,8,1424,"Niger, Niamey",NE,5
NER2,34.88372,30.232557,25.581396,13.953489,11.627908,All,129,2016,4,1396,Niger,NE,2
NER2,30.841122,28.037384,23.364487,10.280374,7.4766355,Excluding hospitals,107,2016,4,1396,Niger,NE,2
NER4,49.6063,47.244095,37.007874,21.259842,15.748032,All,127,2017,7,1411,Niger,NE,4
NER4,49.541286,46.78899,36.697247,20.183485,15.596331,Excluding hospitals,109,2017,7,1411,Niger,NE,4
NGKanoR3,4.5454545,2.2727273,0,0,0,All,44,2016,6,1398,"Nigeria, Kano",NG,3
NGKanoR3,2.5641026,2.5641026,0,0,0,Excluding hospitals,39,2016,6,1398,"Nigeria, Kano",NG,3
NGKanoR4,31.88406,24.637682,17.391304,17.391304,14.492753,All,69,2017,4,1408,"Nigeria, Kano",NG,4
NGKanoR4,19.642857,14.285715,8.9285717,8.9285717,7.1428576,Excluding hospitals,56,2017,4,1408,"Nigeria, Kano",NG,4
NGKanoR5,31.428572,27.142859,21.428572,15.714286,14.285715,All,70,2018,4,1420,"Nigeria, Kano",NG,5
NGKanoR5,15.094339,13.207547,9.4339628,5.6603775,5.6603775,Excluding hospitals,53,2018,4,1420,"Nigeria, Kano",NG,5
NGLagosR2,45.528458,39.024387,33.333336,26.016258,24.390244,All,123,2015,9,1389,"Nigeria, Lagos",NG,2
NGLagosR2,39.795918,36.734695,30.612246,23.469389,21.428572,Excluding hospitals,98,2015,9,1389,"Nigeria, Lagos",NG,2
NGLagosR3,50,37.096775,27.419355,21.774193,16.129032,All,124,2016,5,1397,"Nigeria, Lagos",NG,3
NGLagosR3,44.444447,30.303032,24.242424,17.171717,13.131313,Excluding hospitals,99,2016,5,1397,"Nigeria, Lagos",NG,3
NGLagosR4,54.700859,45.299145,37.606838,35.042736,29.05983,All,117,2017,4,1408,"Nigeria, Lagos",NG,4
NGLagosR4,49.462364,39.784946,34.408604,30.107529,25.80645,Excluding hospitals,93,2017,4,1408,"Nigeria, Lagos",NG,4
NGLagosR5,55,50.833332,45.833336,44.166668,40,All,120,2018,5,1421,"Nigeria, Lagos",NG,5
NGLagosR5,50.526314,45.263161,40,36.842106,32.63158,Excluding hospitals,95,2018,5,1421,"Nigeria, Lagos",NG,5
UGR2,29.444445,14.166667,8.8888893,10.833333,7.5000005,All,360,2015,1,1381,Uganda,UG,2
UGR2,12.156863,6.666667,3.529412,4.7058825,3.1372552,Excluding hospitals,255,2015,1,1381,Uganda,UG,2
UGR3,30.939228,16.298344,10.220995,11.049724,7.1823201,All,362,2015,9,1389,Uganda,UG,3
UGR3,13.671875,8.59375,5.46875,5.078125,3.90625,Excluding hospitals,256,2015,9,1389,Uganda,UG,3
UGR4,33.42857,14.285715,7.7142859,9.7142859,5.4285712,All,350,2016,4,1396,Uganda,UG,4
UGR4,17.131475,4.7808766,2.7888446,3.5856576,2.3904383,Excluding hospitals,251,2016,4,1396,Uganda,UG,4
UGR5,39.104477,27.164179,17.313433,21.791046,15.22388,All,335,2017,4,1408,Uganda,UG,5
UGR5,20.675104,13.08017,7.1729956,8.8607597,5.0632911,Excluding hospitals,237,2017,4,1408,Uganda,UG,5
UGR6,35.964912,23.099415,16.666668,18.421053,13.157895,All,342,2018,4,1420,Uganda,UG,6
UGR6,17.670683,10.441768,7.6305218,6.0240965,4.4176707,Excluding hospitals,249,2018,4,1420,Uganda,UG,6
